Image1,Image2,MSE,NRMSE,SSIM,PSNR,CK1_vp9
0.png,107.png,21.501800130208334,0.0181843268890878,0.7810068206822406,18.065433111587947,0.2316880552813425
0.png,11.png,19.084274088541665,0.017131588819018627,0.7996515414698746,18.42831738123057,0.21680564464400254
0.png,103.png,24.446043836805554,0.01938938850431865,0.766889990486242,17.518833941941388,0.23795010368880787
0.png,10.png,19.93309136284722,0.01750842774507558,0.8001282910821343,18.302006963677435,0.22779678667063363
0.png,109.png,19.339139539930557,0.017245603350088453,0.7886947268869156,18.161678150941043,0.23566047587081385
0.png,108.png,23.0516796875,0.018828299921436472,0.7610930828698804,17.35308629704091,0.23449882039804004
0.png,104.png,29.382109375,0.021256967331459087,0.7176141479077377,16.397141781609402,0.25338042938352
0.png,100.png,23.520341796875,0.019018735293053823,0.7617862240705401,17.71316684561284,0.238408398443392
0.png,1.png,22.00336154513889,0.018395192502164214,0.7781034795869056,17.75359552013513,0.2392724349311628
0.png,105.png,33.290889756944445,0.022626767841301743,0.664479283854424,15.854408402074235,0.26976625367224427
0.png,106.png,24.298510199652778,0.01933079178285215,0.7674230668962592,17.99505691945179,0.24233823388717024
0.png,111.png,28.064157986111113,0.020774751032146956,0.7225322060307849,16.72736372952189,0.25706681350954486
0.png,110.png,29.842129991319446,0.021422725769911558,0.6992320804739697,15.187136157040783,0.28481091443224527
0.png,102.png,26.026959635416667,0.020006519366288052,0.7431774925555125,17.899536962228133,0.25247959824231003
0.png,101.png,30.67605902777778,0.021719989049320872,0.7086104664088614,17.423330269780685,0.2462587911797367
1.png,10.png,16.38169379340278,0.015872276538931054,0.8185564511907985,19.349907294469983,0.22282300449956516
1.png,100.png,21.29996853298611,0.018098779978885957,0.765537110452719,17.529764741586327,0.25128408951938375
1.png,107.png,18.27132052951389,0.016762731464751893,0.8067848506588248,18.647138926953286,0.23339677451667828
1.png,11.png,15.276342230902777,0.01532743592064958,0.8313155927773598,19.788925458238996,0.21771161077430734
1.png,104.png,27.643038194444443,0.02061829297728374,0.7340058492585578,16.969029983857556,0.2592116657820487
1.png,108.png,20.812408854166666,0.017890438855650705,0.7756942468718844,17.680748860988903,0.23956960240335978
1.png,106.png,21.967373046875,0.018380142840996642,0.777081396042658,17.888117871397966,0.2490619743821969
1.png,109.png,14.882312282986112,0.015128470621469103,0.832340724730082,19.45117621726441,0.22788457892541625
1.png,105.png,30.92616753472222,0.02180835317311629,0.6747615593895896,16.288556291488316,0.2598439437784208
1.png,103.png,21.60208550347222,0.018226683821505718,0.7875690844644113,18.279622005885106,0.2431734905209495
1.png,101.png,30.868194444444445,0.021787903004441275,0.6889985645655754,16.7617196586758,0.2580187795939113
1.png,102.png,22.596729600694445,0.018641575491471222,0.7732571853431359,18.754150785583686,0.2450746363665297
1.png,111.png,22.3175390625,0.018526055951954484,0.7857544745367733,17.94759950567335,0.25307780568735083
1.png,110.png,26.597347005208334,0.020224555215938817,0.7301007789546831,15.541596363461727,0.28482605850073006
10.png,102.png,23.605213758680556,0.01905301846502779,0.7578636029087789,18.566618174277355,0.252583116609264
10.png,101.png,27.747692057291665,0.020657285535858366,0.7161343985854981,17.301354304620315,0.2395688052068805
10.png,100.png,20.065492621527778,0.017566479482456872,0.7720844573714856,18.0090471220569,0.23097871768147127
10.png,105.png,28.958688151041667,0.02110324600487332,0.6892745064487443,16.46233415433065,0.2499790145219507
10.png,104.png,27.442379557291666,0.02054332339748454,0.7274802347931958,16.743553682998332,0.2572490253411306
10.png,103.png,21.86502495659722,0.018337275430890244,0.7732909780765045,17.841778105625288,0.2358198451794511
10.png,11.png,12.946484375,0.014110283687033579,0.8458232503539619,20.526446109415563,0.1888556955448759
10.png,107.png,16.906590711805556,0.016124558754573394,0.809855496764562,18.677100301699877,0.21249629410020754
10.png,109.png,13.296521267361111,0.01429976287426022,0.841741860788728,20.02515661356299,0.2128332194121667
10.png,108.png,19.375133463541665,0.0172616446110911,0.7851949219848399,18.240664060244704,0.22032640949554905
10.png,110.png,27.537549913194443,0.02057891475791483,0.7025827820243191,15.20345193966611,0.29055248769075925
10.png,106.png,20.87644314236111,0.017917939797522403,0.7784853758570494,18.02952889186016,0.23512575578691286
10.png,111.png,22.159365234375,0.018460288221078935,0.76672921899092,17.807604184761573,0.24192336589030794
100.png,107.png,21.46995659722222,0.018170856673601066,0.7782545893105278,18.074664087492327,0.23092194314934567
100.png,105.png,32.65266384548611,0.022408827229478838,0.6654106704040271,16.032561489511558,0.26483333333333325
100.png,103.png,24.613963758680555,0.019455867412116863,0.7523167028632819,17.254201621246498,0.24494680084195952
100.png,109.png,18.45990451388889,0.016849016077330647,0.7833242850482357,18.089304625917325,0.2337456604536723
100.png,11.png,18.295579427083332,0.01677385574277897,0.7945639095781095,18.897265033005592,0.21558008038694743
100.png,104.png,29.145116102430556,0.02117106543307172,0.7181966365154917,16.401234110885706,0.2639091397436881
100.png,108.png,22.86772894965278,0.018753025212682184,0.7521300515188543,17.143653327669693,0.23777041512375763
100.png,106.png,22.64057074652778,0.01865965049660791,0.7635593401761521,17.87523385909133,0.24263416345142064
100.png,111.png,26.60434353298611,0.02022721511201656,0.738976397142877,17.12233211613581,0.26311791351320934
100.png,102.png,26.841548394097224,0.020317188134776853,0.7373951394764546,17.552341227232723,0.2516203370301022
100.png,110.png,27.782701822916668,0.02067031326347278,0.7255704902461275,15.747890268547327,0.285923481009716
100.png,101.png,29.04537651909722,0.021134808879934193,0.7124168902514018,17.21130573390483,0.23649728347714927
101.png,11.png,26.91233832465278,0.020343962024255095,0.7183368457167371,17.693842020859197,0.23264082748082626
101.png,107.png,30.452360026041667,0.021640649813552574,0.7000377356062278,17.028083051712088,0.24782425233398375
101.png,111.png,32.75580295138889,0.022444190411332037,0.6865679575139714,16.415659971717027,0.26909687686492934
101.png,109.png,28.013330078125,0.020755929593100398,0.7066383634813359,17.30593996109001,0.24835478422922375
101.png,106.png,30.517251519097222,0.021663694772348963,0.705256626432733,17.532554368596507,0.24919634820624914
101.png,108.png,31.489409722222224,0.02200604919184247,0.6855507747186841,16.675315228137915,0.24717910815471789
101.png,103.png,31.315559895833335,0.02194521853666106,0.6962363280244008,16.561999604203535,0.25100370991512944
101.png,104.png,33.11017361111111,0.022565270737616164,0.6874419880876159,16.347076896521575,0.25656902618470956
101.png,102.png,33.18933376736111,0.02259222927903316,0.6829874271442975,17.001651639048756,0.25677871432923727
101.png,105.png,37.40915798611111,0.023985500549673643,0.6526954509745747,16.26293721992139,0.2564437683457246
101.png,110.png,33.065020616319444,0.022549879136668248,0.6779621905481474,15.435107938008217,0.277450466505923
102.png,107.png,24.437776692708333,0.0193861096829236,0.752313874142399,18.006252448796527,0.2538803354612593
102.png,103.png,22.74966579861111,0.018704552835808727,0.7900338718044173,18.846085767546167,0.24317201724964055
102.png,11.png,21.16533745659722,0.01804149067351065,0.7888505761144945,19.204362447958236,0.2285439452777085
102.png,106.png,24.02342339409722,0.019221057030192085,0.7677988094719151,18.291827777853428,0.2451173951341008
102.png,108.png,27.388220486111113,0.020523041686811492,0.720540610423468,17.341222915722824,0.2605983597089061
102.png,109.png,21.309141710069444,0.018102676826014418,0.786809661465484,19.312471663969642,0.23382663847780116
102.png,105.png,34.56738064236111,0.023056482688426784,0.6556377054994335,16.219283590041506,0.27081132863353874
102.png,111.png,25.819151475694444,0.019926489849039507,0.7585419437176953,18.342530011338344,0.255736556314591
102.png,110.png,28.740469835069444,0.021023583848081003,0.735896622686028,15.921607140203216,0.27412359523638363
102.png,104.png,27.40622395833333,0.020529785924014513,0.7520119087249307,17.63604723935743,0.25775050259231835
103.png,107.png,22.147724609375,0.018455438860124677,0.7762975275268382,17.848444006111066,0.23604410751206073
103.png,104.png,26.978654513888888,0.020369011946014565,0.7587053508947866,17.65547508291699,0.2316918189038919
103.png,109.png,17.33313042534722,0.01632669658980409,0.8223325438155039,18.85499109128244,0.23005009525153453
103.png,11.png,18.726544053819445,0.01697026553711359,0.8162103758343093,18.65160881270987,0.22297128589263426
103.png,106.png,22.811463758680556,0.01872994044590018,0.7865295094131631,18.172427779166483,0.22971206178357506
103.png,108.png,25.761905381944445,0.019904387133828298,0.7329316587052088,16.874954715136408,0.24177603052552477
103.png,111.png,24.815358072916666,0.01953530034575543,0.7639170090861395,17.535182798596274,0.2523962594973699
103.png,110.png,27.63096896701389,0.02061379140922866,0.7377882675019595,15.797400774130256,0.28362790474591715
103.png,105.png,33.54999782986111,0.02271465096352208,0.6677927873043566,15.810868385482365,0.24935467217346408
104.png,11.png,25.03026150173611,0.0196197068037998,0.7528229298562255,17.03862287582638,0.24378216784294393
104.png,107.png,27.978258463541668,0.020742932710130915,0.7237589964941581,16.453333159246426,0.26165574943579006
104.png,109.png,24.685919053819443,0.019484284839100127,0.7555827575096393,17.358651913016367,0.24958788692838385
104.png,108.png,30.559029947916667,0.021678518610220267,0.6995397043656869,15.989493354526505,0.2638055683740963
104.png,111.png,29.03461154513889,0.021130891961319374,0.7260518976403173,16.531127091809243,0.2730637813211845
104.png,106.png,28.007353515625,0.020753715366387652,0.7409707753908318,16.851519161980505,0.2621645532291359
104.png,105.png,36.32990017361111,0.023636976413193785,0.6575990355876978,15.63958698863561,0.25926500920401874
104.png,110.png,30.99348849826389,0.02183207679216609,0.7247483865329386,15.536052405061298,0.2786536835028519
105.png,109.png,28.327355685763887,0.020871940950541457,0.6883776110926556,16.250712957646595,0.26401233702509463
105.png,11.png,27.488047960069444,0.020560409940034267,0.6997287210899872,16.751989156429406,0.255360072410477
105.png,108.png,31.20075954861111,0.021904956892553056,0.6870537904975041,16.11811803830959,0.2533104287452581
105.png,107.png,30.46323025173611,0.021644511874794804,0.6840716571910547,16.261482140302192,0.26161412808032414
105.png,106.png,31.373065321180555,0.021965358529633452,0.6815879229931848,16.006250658544737,0.25604357341822515
105.png,110.png,37.348623046875,0.0239660862035942,0.6395668291043309,14.744371384851112,0.29905340895181354
105.png,111.png,34.253995225694446,0.02295173051205072,0.6649232667705712,15.778572349761586,0.2748019933074941
106.png,109.png,18.151241319444445,0.01670755828813629,0.8133230490528458,18.554762036402455,0.2285396563475266
106.png,107.png,22.690868055555555,0.01868036573268961,0.772981244802037,17.61231260877292,0.23641624010428264
106.png,111.png,25.795478515625,0.019917352694096238,0.7557954833712076,17.35105985236274,0.26162187787028524
106.png,108.png,24.11551974826389,0.01925786477275583,0.7490221993687253,17.015851437911888,0.24029304029304033
106.png,11.png,18.319622395833335,0.016784873728899235,0.8113234151981074,18.665893898250918,0.21925560473046501
106.png,110.png,28.939088541666667,0.02109610332311895,0.7219879539934114,15.644022641026613,0.2855687606112054
107.png,109.png,15.891332465277777,0.015632915355952605,0.8228631740677077,18.99563231062832,0.21564474173169823
107.png,11.png,15.266232638888889,0.015322363378861049,0.8277530178789417,19.3981734621343,0.20429339448851458
107.png,108.png,20.610042317708334,0.017803248807237413,0.7724464865255656,17.45602180184978,0.23321671994692084
107.png,111.png,22.71452365451389,0.01869010048872312,0.7748319335059177,17.51215974404728,0.24908491947291367
