authorChannelId,Count
UC9pMqyAtf03mxPcAoG2TuOg,48
UCd9dcVhd6Q5Zl93w81dktXg,47
UCGd3u_zHgzoErYdEoPY-hLA,47
UCOfS0DsqpzqZB8ZwdYEmPQg,47
UCPf0Qq_fw20X1f0XNp08S3Q,47
UCQNjb8EG7gXLsskQ09kGsIw,47
UChocfFvdOV9eeCDy1jKY-HA,47
UC4sgFHZghqJWzLkPJM3ms4A,47
UCSVmf6AzNscfBT87DxnGDOg,47
UCHtEivLRVKgdjFp9QBzJNIw,47
UC0D88lvNCZdzCDgi6NC5vKA,46
UChxkfA2AkDFqey66dBef7rg,46
UCm2zbNBnNzeIfGB81HMylqg,46
UCyI505MnHiS4yus6ako8X1g,46
UC1eAS7EhK3-Rz9IY0ZEUl2w,46
UCp9iKAx2IQxi0cdRt_EJGKQ,46
UCxecl_v3nqKKVy1tIP8TYAQ,46
UC7ojmqmJ3JXS5Di3XEol0QA,46
UCjOQS9JxFIpZ68uBxiZhBaA,46
UCKKIucLl6e1esc93TeK8eCA,45
UCGPgvVBfZ4LBEaGEW4gKSEA,45
UCwTdDEZQQ1BLlBptGoNe1rg,45
UCgdKwc0zFTP2GfVJbg3Y2YA,45
UCdQJ2TlR8f96BIeAtmWpWFA,45
UC3E_5xBo4ipsRnyo50UygDQ,45
UCxwhOWtAPujeLGNF_4QBmZg,45
UCTAsdmTvLqcsUcoEkGx_t1g,45
UC_MCclF8IKGra_4vzNsVFng,45
UCX0XzGmPjDiInKWAg0BPlZQ,45
UCY2whl6XDUqDnmSdzvFttyw,45
UCuXWZasX75e8ChA2dTzOmmg,44
UCz8UgZaFdcYalbKVHygdZPA,44
UCmILViJWjIOG5EJXb-duXxw,44
UCp5YCLkBOuQ3EIbjpwfIjvQ,44
UCrZcTl_n4ety1bfhvfH-SSw,44
UCpWkCSxtqgu96IdbhMS0_aA,44
UCWsQuJJHA_9Qji9FZBF6I0Q,44
UCh-CfKYppgIME-ZWdW_6nvw,44
UCe2C8WXqkJghXhe2jJW2YKg,44
UCeoxEPpntDP4vImUoojYztw,44
UCiPZrF6Z32hDvTCeoy-IOew,44
UC3dxfZMDIJrvJMn1fU7ByaA,44
UCMQ0o0zreMqaXxkAI6DaN7g,44
UCeXulzSIwBtpmVIVW-7kZYw,43
UCTPYhimCYZUDqLZz1chtYPQ,43
UCxTi_nMZ0TmSRqgXVQSKdUg,43
UCBM-yQUDLXRHll83QSd5C4w,43
UC3ra-S87w4xzZDTjkZfeHoA,43
UC5SqCkdcRn6g2EHsUwirRrg,43
UCmA5Ni25uv0B1ND-7nYOyxg,43
UC0gEbbFEPdm9GtAOjx3kKnA,43
UCl9liw0S6wL18Fho8M4Z-zQ,43
UCkA3Le0OlbAWUQWQxxaM3nw,43
UCEL17Q8IBp9MebzHT-xh-Fg,42
UCs4eVadellnMKcqKlwrTadA,42
UCK4SZF5xYZPEd4Q9tArqHJA,42
UCtIkEXdKk8uNqSZIi6k070g,42
UCwUPk4T_iwgRntHPsKHx4cg,42
UCXc6XXIHOKFB7QVdMbzu52g,42
UCpRMDMT80kM5jJM_jPj25aQ,42
UCe9bN65lR1Dsc2gedckbh0A,42
UCw3uib5UMctAFbS63QC1oNg,42
UCfSJYBlspvec2OGmwHbxxUg,42
UCnU-mpBwEPiQ7PMdyHYyWbA,42
UCli0fOM12QMz2mqU55Otxxg,42
UC1iG-U8n9OsBNqNA191VHIQ,41
UC-tM3IXTF1Ie16YNTiFRs0A,41
UCk_Ayle5zGQzYI2RT7s2AIQ,41
UCRSD2HeU4rIov2y1thJIhsw,41
UCJ3nWIjahR216nUTMWGcP1A,41
UCN26UeGCc2S6gyI3m3JlFmA,41
UCkJKE1t5qP9Vqe9Tga19IPg,41
UCbImzK9nEP9YQQDwzS_tnrA,41
UCocuTka7baQ5c5fptVP8daA,41
UChP_s0pSK1cnWj9hIF907Iw,41
UChnJG5QNJKOwRqmjUAd51hA,41
UCjxLAdpAIKNXnCtIaHphnOA,41
UCIO6RONmf6CAt_vQOqZklYA,40
UCMEwrZf1tu1mMX7cPKazVmQ,40
UC9hlDtNlvCEgwENznkCpvkg,40
UC8i5wi2xOk5tzfZvHKr8eNA,40
UCqJmT0E2SxAGdsX5OBYsuIw,40
UC1xXEOeF8SjoTEI-gHPUMxA,40
UC-i5EQbKCDjVjIzG5guhlSA,40
