authorChannelId,Count
UCaAjXmxb74Wiif8lun70v5Q,119
UCBbkY9Q11BeeavlwpmOvJBQ,119
UCr5JGUJUfD93_aCgqouKkOg,119
UCFGOrK7qW2DbRedyhix3XJQ,118
UCwxShW5EUMzh9yt1zIGZnrw,117
UCbo06bUfuWzg17WlqzT4izg,117
UCbDUQN6I-_8lPmK_XhKK3pQ,117
UC79sUEXi9fSbOYBmKts2Y0g,116
UCjn48np8PPpGEnbnRS98_5A,115
UCe_QT4mpb4C-lqpO3fVlQcQ,115
UCZ2ZzVAJLJd_Vd1oZImz_Iw,115
UC5j062jevPYVwiL9hWD3Mkw,114
UC3_xWRanDQwpetmAO5QvOAw,114
UCz3Iom9yGSgzeErZiIMMnfA,114
UClHWDm9r8qvvh7qcJ1xzIwg,114
UC2GhsfM5pnV8Nkksp3MZ4Pw,114
UCc6wFUaLE3VB1JvBkj6Iw4g,114
UCojIk15dAt56fjQSzldwVeQ,114
UCclSHDrB4PAERIjPvTABLfg,113
UC0JjKse3pgdc4KeZOKahxpw,112
UC8F5H-cbDTpT_WNtnwjIPfg,112
UCwuIZhh-dz_04AnYiCyvUiw,112
UC_zuTc7G0b7RqlYzIzu5J5g,112
UCp_8p0ln1VY2R8ENgudAHhA,112
UCjHUQSZgH8TZrj5-j07LOPQ,112
UCm1tA62mHATrP5c30U1FyNw,112
UCGMFY69Lqccc9oR5xHEjVHw,111
UC1bgBB-4N4cbbWVv0jMWZww,111
UClNGCV55pqMy-iDzLwBDLbw,110
UClp3cULhyi2gvtcZsaT2lRw,110
UCkztQZOnLsSpSzmB5LiMLRA,110
UCSO9AUXNtRutpBxuQ-s1QjA,110
UCL1vLS9W5k-r_c4gGN5YkoA,110
UCLzMUaE6IAdwX01hoLYljLg,110
UC3o7CExkMWtHHis43Rf-uag,109
UCKnv1JJNTzHYwIx25iQVDBQ,109
UCAzuXPg_Ne3NlWrOEazISjg,109
UC9yGH_eSvHW1C7vWJUmq_qA,109
UCkDMO9calUeopCriJfi2N6Q,108
UCN8TOaPBV3UNSQaSuxGSJAg,108
UCnWq47yJqAiQ1oqZ7Z__XKw,108
UCluKxK41MfdffejoTYfMlxg,108
UCLBcqTPEyaItk_HBShVTt_Q,107
UC8K3FXTYR7k4lNX-CPhhACQ,106
UCyT1EiYvN0-Qm46WWnThpuw,106
UCnkXZWa4ivlxGeRqPVAW4Cg,106
UCF37QyEKb2s3eoaX72PbQww,106
UCfCA2cX3PiIY1y4lw1R36CQ,106
UCIF0pK4g_851lGSQ4__Pw-w,106
UCNI6iJvqmSSp5dWA1H3y9Og,105
UCzJrk4Xx60qJePGlUeEDMYQ,105
UCR7YdPM_SSt09x6ooBaJFIQ,105
UCnfOvwfCNxVxOduDzS5ovlg,105
UCzMk4zhicg6fuvILYhcZobg,104
UCogRIrW2KHOFBv810JVGwQg,104
UCPuQ8G__ua5TQQ0ODnOBLUQ,104
UClV2al40rixEnqL5oxwwu5w,104
UCaskF1RKOZfv5hoO2tMZIDw,103
UCu1IDCHX1fi2SwUDBWfjriQ,102
UCvNDxatGshkfV2PyGKVQQWQ,102
UCv28XQxYc4tFTC9w9RgWdUw,101
UCCjuyqR6nRW4cIeWF8SxpVw,101
UCIrY7GXmqeaZ_m05NWoGdjQ,101
UCm3HwB2ATQfjKuNBqfIHkWg,101
UC_jKaydWJ6YKot0djKvHzNQ,100
UCR6O69v--vOuhVt0w2RaxhQ,100
UCGsziQP3HLuxJWdYHRoBIqQ,100
UC7C91mWEsf-Q6S5e3_HgdHg,99
UCUUThJZkZ3j7-6rBzw67hwA,99
UCt1csac_jg17AG7rBY5BEuA,99
UCRP0Ztw-VLe-Fce3VIp9uvg,99
UCAeoy2Y-N3yR8xXX56LU0Pw,99
UCvqDXGlNMSOCRlsLbVUssFg,98
UCTf54Y-PgPqJ5Pgzyo542Ng,98
UCc-BH2P9poPjsSjiuDpEeKg,98
UCbno6HMQNtoHfhzySx9BLtA,98
UCdNhzry5F-oQlhrR5RK2Dxw,98
UCvm0_xl4dL-LiLvrU0Oq1AA,98
UC5K5X_1vzSMZIOvigCUqENg,97
UCxyOhB3jAuH1QWdrmMXqAcA,97
UClswsYpoMtQ_vJXZBNcYvtQ,97
UCQd7Kh_0qIAkAyixJb6XM2w,97
UClEq-5cvMd_kGUPO8RKchJA,96
UCsItr1iQ_-ZWwLPrDMFuegg,96
UCGxgGhVqT9Yi9E2lEkYUjjA,96
UCnX461Ee_g0Nk0Q6yrqyvsg,96
UCnzRY2IYXCB9KhVtElEOpDQ,96
UCqERnHo4Tjsg1RhxIhJeSBg,96
UCEcVhWrJnGvb_p1IBCWNRRA,95
UC8CCJwyTlbFtId0jEu3JuOg,95
UCN-j07-_5FopQ_BeanhmgBQ,95
UCpIRIWELH5NQy3R7W0awjmw,95
UCd3DPh5KjzQLjemwwDYaabA,94
UC5tcEpEKoDn7kX2Ha2i5JNw,94
UCuNDpe_kIURZ4BPaXuxQVHg,94
UCWIhFBAa_Sy_RDQ35T_pR7Q,93
UCPRmx0U3a9ilttF6M7HlfCA,93
UCFcdkwfErwoQ37axis-tc_g,93
UCQ01Kgdy9jnChNu_wzfEMZQ,93
UCSAMxXnkOJT5E0MFcT8LS8A,93
UC3nqz1L9aF4xryFf17HnLlQ,92
UCj5JV92Drl8ZkXU5PKsDzVA,92
UCVqik77GpN0Wq7-Ps5ra_cQ,92
UCto9_5K5QXzHIxftu3W2N8w,92
UC85t6xCxjvGElGXBqYClC2Q,92
UCCf_e6LHHJDn7TcqYLnq4gQ,92
UC6m2pesJNjHYSgu_7SFWouA,92
UCRFa-xcbe1Fafqeinu9sTjQ,92
UChMSifB6tTcunRTX6kdX7-g,91
UCC5Kb57mKWpIiQDb9IvuKNA,91
UCrjjvGenuXkappfhtsBFpRg,91
UCnOqs0s35Q4iH7wMYJ_vgmw,91
UCDvhSmHl-phsPrgWv5G3v0g,91
UCSHGU0hJe0iaeBV2OVB8qVQ,90
UC2ob11679mGdxYmQmix1Mng,90
UCNHnm0CBvSoLF9Za09X1JMw,90
UCBwJAE13qfXK0WADs40AMQA,90
UCtYN6KBfEEubLo0d6soz4CQ,90
UCJEitA3HhJ6qs3rgNy-NqzQ,90
UCHRXNrH008exzw9oFPn6MVQ,90
UCd85TQuto6Fgv0CPq6LbhFQ,90
UCQdt_b8kO3PGzGfKFSc_2qQ,89
UCn8zBUUHYU-BwRjc98mYEpA,89
UCEz3DObQrDNRSRBfm3ymq5A,89
UCcCpaTyOO5rCcGeEZ1NZcuA,89
UCxKQhd7kpQX3Asp6OGHp6JQ,89
UCZTdH3n3IHFaVlLa6LpEzRQ,89
UCHTNZk4HxPyQyEO2AaWVj-Q,89
UCTfn64ycquPRPIpOl9BgHPQ,89
UCFfcMs1JtOL_gLf26EeGMzQ,88
UCO6o5Hzlqwqv68WAOR3gHgQ,88
UCJcfq-EXVTKQS7jIg4-Fe8Q,88
UCk2fh6ydnG1CnJqFHc1qwDA,88
UC4swHq61FbhQ77P9LSxMsvg,88
UCQRqAhQjeqJiMvG6EHUcb2g,88
UCvii-wTt4DUWko8pls3MsGg,88
UCP9RmvEJKT7X48dTSTZu0Qw,88
UCN3Pw_hLhQD91jVR9qJHn2g,87
UC8Sf2xgCGQFfOHc7Tu7y0TQ,87
UCJVT0_1j5o-F4xCNdmDMiUQ,87
UCkWn6y5E-L-58znHhqnEIOA,87
UCEizfS18giqYb61gtqttwsg,87
UCORbw6cywnH-3Ez-CxjRArg,87
UC6_-Gan6oPCRPvZAJFrMOkg,87
UC5s0eosD_y77dhmudcKf40g,87
UCBsWPAaR3AgwLaiW6-eGYqQ,87
UCpbIOyYFF4kG-PpvZtE-HPg,86
UCMimLa2Ikt35DlNkCutG3fw,86
UCI-RwNTeIrvL37fO-OyWz0A,86
UC3EeTdqeuZLcG7CReLi1Dvw,86
UCKwnxBF4q4Q-08JmDptx47A,86
UCsqE5CKOChz5WN2KbPM8lCQ,86
UCrWbiyd0KGRoQp-xpzZEYkQ,86
UCdBs5xarylAW2ea1QZdzsLQ,86
UCddgtDUfUGnXTb2pAoRP45w,86
UCN-BQBx8yC7VRl7mnZaL3OQ,86
UCOJRptMlMQgB4YqL5dNQozw,85
UCxXa6f_xWrDEs43hSaBMMjg,85
UC_BOxnIoocAN4Wy27zVGXMw,85
UCzWQD2dU7b5ODOyT2LRmI9Q,85
UCzquoNaSzfIaeAf_4GMD-BQ,85
UCPfGdl3nO6xUkuDoO2SnTvA,85
UClqRGpc96q7oBQ8hcgCYkUA,85
UCoin242U_2DVB640UJCdIXA,85
UCLP_ohP8DNWx2ko6gB0oPvg,85
UCUwYdas0h2eKk7n-0UIY0qQ,85
UCb00s_GCka5jWqE_S9vTxjQ,84
UCQIRL1dX0SWSHYul5e8IFMA,84
UCyIyuTHvukTYb1nORSLdG9g,84
UC7ViNgOSAZZXvksKz15BRjw,84
UC6ToVBJ3UTD6dwtBQxwLjLw,84
UC10FbNWl6nu1DjB6LRy2IBg,83
UCH047HxXInwt3tVFXnroApg,83
UCnWKpXxtt4-q9G1zRKMCQ4A,83
UCWCFwuQT1P7RCTpR_4Fiw4w,83
UCb4wz_T3fQGpbPJ1f2ft5bQ,83
UCPejnFWowgtLRjBOixm8b5Q,83
UC-IWA2dtyOvLibPX__cZ-UA,83
UCpPaoqB_JOnu3EGZD1Ev9_A,83
UCG3RKz9kLbHdhd21lh0IRCA,83
UCo9TnNNyLgDnezOpWSIgyCA,82
